((4, 53), 0.22799999999999998)
((26, 32), 0.22799999999999998)
((5, 30), 0.23199999999999998)
((4, 41), 0.236)
((4, 43), 0.236)
((4, 56), 0.236)
((5, 24), 0.236)
((8, 14), 0.236)
((11, 14), 0.236)
((3, 42), 0.24)
((4, 30), 0.24)
((4, 35), 0.24)
((4, 47), 0.24)
((4, 55), 0.24)
((5, 33), 0.24)
((5, 36), 0.24)
((11, 16), 0.24)
((13, 16), 0.24)
((3, 31), 0.244)
((5, 16), 0.244)
((7, 27), 0.244)
((8, 11), 0.244)
((3, 54), 0.248)
((4, 33), 0.248)
((4, 46), 0.248)
((4, 48), 0.248)
((9, 18), 0.248)
((4, 36), 0.252)
((4, 44), 0.252)
((4, 49), 0.252)
((4, 52), 0.252)
((5, 46), 0.252)
((8, 30), 0.252)
((9, 20), 0.252)
((5, 27), 0.256)
((8, 22), 0.256)
((3, 48), 0.26)
((4, 45), 0.26)
((10, 11), 0.26)
((10, 15), 0.26)
((11, 15), 0.26)
((13, 14), 0.26)
((13, 15), 0.26)
((15, 16), 0.26)
((2, 6), 0.264)
((5, 31), 0.264)
((5, 38), 0.264)
((7, 35), 0.264)
((14, 15), 0.264)
((14, 16), 0.264)
((4, 40), 0.268)
((4, 42), 0.268)
((7, 22), 0.268)
((10, 19), 0.268)
((2, 27), 0.272)
((4, 12), 0.272)
((4, 21), 0.272)
((5, 42), 0.272)
((5, 44), 0.272)
((5, 53), 0.272)
((5, 55), 0.272)
((3, 7), 0.276)
((5, 58), 0.276)
((9, 23), 0.276)
((6, 33), 0.28)
((9, 28), 0.28)
((13, 18), 0.28)
((1, 7), 0.28400000000000003)
((4, 39), 0.28400000000000003)
((5, 35), 0.28400000000000003)
((6, 16), 0.28400000000000003)
((12, 13), 0.28400000000000003)
((0, 7), 0.28800000000000003)
((6, 15), 0.28800000000000003)
((7, 46), 0.28800000000000003)
((6, 19), 0.29200000000000004)
((6, 22), 0.29200000000000004)
((7, 12), 0.29200000000000004)
